pretreatment_case,pretreatment_label,feed_label,feed_label_pretty,feed_price_usd_per_kg_wet,msp_usd_per_mmbtu,msp_usd_per_kg_ch4,methane_kgph,TCI_MUSD,VOC_MUSD_per_yr
press_mill_only,Press + mill only,tipping_fee,"Tipping fee
(-$0.02/kg)",-0.02,-15.683469674919174,-0.8249505049007485,5161.680169625006,234.3299095434593,-86.9023638837391
press_mill_only,Press + mill only,near_zero,"Near-zero
($0.00/kg)",0.0,30.821351986715623,1.6212031145012418,5161.680169625006,234.3299095434593,12.09763611626091
press_mill_only,Press + mill only,low_cost_collect,"Low-cost collect
($0.02/kg)",0.02,77.32617374310253,4.067356738887193,5161.680169625006,234.32990954345928,111.09763611626093
press_mill_only,Press + mill only,beach_midpoint,"Beach midpoint
($0.05/kg)",0.05,147.08340625337013,7.73658716892727,5161.680169625006,234.3299095434593,259.59763611626096
enzymatic,Enzymatic,tipping_fee,"Tipping fee
(-$0.02/kg)",-0.02,-12.302964057653213,-0.647135909432559,6348.866608638757,230.22296911262944,-85.37894645311637
enzymatic,Enzymatic,near_zero,"Near-zero
($0.00/kg)",0.0,25.505834074422175,1.3416068723146064,6348.866608638757,230.22296911262944,13.621053546883637
enzymatic,Enzymatic,low_cost_collect,"Low-cost collect
($0.02/kg)",0.02,63.31463224542083,3.330349656109136,6348.866608638757,230.22296911262944,112.62105354688366
enzymatic,Enzymatic,beach_midpoint,"Beach midpoint
($0.05/kg)",0.05,120.02782940701309,6.3134638268088885,6348.866608638757,230.22296911262944,261.12105354688373
peroxide,Peroxide,tipping_fee,"Tipping fee
(-$0.02/kg)",-0.02,-6.535128025886683,-0.34374773416163956,8516.77227988126,252.94493606616248,-79.3112828878487
peroxide,Peroxide,near_zero,"Near-zero
($0.00/kg)",0.0,21.649613987452575,1.1387696957400055,8516.77227988126,252.94493606616246,19.688717112151316
peroxide,Peroxide,low_cost_collect,"Low-cost collect
($0.02/kg)",0.02,49.83435444246415,2.621287043673614,8516.77227988126,252.94493606616248,118.68871711215132
peroxide,Peroxide,beach_midpoint,"Beach midpoint
($0.05/kg)",0.05,92.11146505597218,4.845063061944137,8516.77227988126,252.94493606616246,267.1887171121514
combined_PE,Combined PE,tipping_fee,"Tipping fee
(-$0.02/kg)",-0.02,-3.2456511699057833,-0.1707212515370442,14297.854069861267,260.7480606112671,-76.56683397525543
combined_PE,Combined PE,near_zero,"Near-zero
($0.00/kg)",0.0,13.54309326127155,0.7123667055428836,14297.854069861267,260.7480606112671,22.433166024744594
combined_PE,Combined PE,low_cost_collect,"Low-cost collect
($0.02/kg)",0.02,30.331837575289036,1.5954546564602032,14297.854069861267,260.748060611267,121.43316602474461
combined_PE,Combined PE,beach_midpoint,"Beach midpoint
($0.05/kg)",0.05,55.514954006074476,2.9200865807195173,14297.854069861267,260.7480606112671,269.93316602474465
combined_PTE,Combined PTE,tipping_fee,"Tipping fee
(-$0.02/kg)",-0.02,-1.6402483902352032,-0.0862770653263717,13471.985242721265,258.1536945410974,-66.22507736742082
combined_PTE,Combined PTE,near_zero,"Near-zero
($0.00/kg)",0.0,16.177691108322843,0.8509465522977815,13471.985242721265,258.1536945410974,32.7749226325792
combined_PTE,Combined PTE,low_cost_collect,"Low-cost collect
($0.02/kg)",0.02,33.99563046952604,1.7881701626970696,13471.985242721265,258.1536945410974,131.7749226325792
combined_PTE,Combined PTE,beach_midpoint,"Beach midpoint
($0.05/kg)",0.05,60.722539477057246,3.194005576493211,13471.985242721265,258.1536945410974,280.27492263257926
