vs_destruction,ch4_kg_per_kg_vs,ch4_molfrac,Installed_CAPEX_USD,Power_kW,Heating_MJph,Biomethane_CH4_kgph,Biomethane_CH4_Nm3ph,Biomethane_CH4_MMBtuph,Annualized_CAPEX_USDyr,Annual_power_cost_USDyr,Annual_heat_cost_USDyr,Annual_fixed_OPEX_USDyr,Total_annual_cost_USDyr,Breakeven_USD_per_kg_CH4,Breakeven_USD_per_Nm3,Breakeven_USD_per_MMBtu
0.3,0.04,0.5,123929878.47065647,3791.7378261022545,8685.215000000002,537.3468696172501,750.7849853884208,25.465324571266837,14556757.023270506,2402445.0866183885,412721.41680000006,3717896.354119694,21089819.88080859,4.95556259116831,3.546762518404659,104.56792090375347
0.3,0.046,0.5,124430387.44228971,3848.6138456060316,8685.215000000002,617.9489000598377,863.4027331966838,29.285123256956865,14615546.61927384,2438481.732575982,412721.41680000006,3732911.6232686914,21199661.39191851,4.331628267260998,3.1002043661729686,91.40220786286639
0.3,0.052000000000000005,0.5,124930896.41392295,3905.4898651098083,8685.215000000002,698.5509305024251,976.0204810049468,33.10492194264688,14674336.215277173,2474518.3785335748,412721.41680000006,3747926.8924176884,21309502.903028436,3.8516787873322973,2.7566980952255165,81.2747362929533
0.3,0.058,0.5,125431405.38555619,3962.365884613586,8685.215000000002,779.1529609450126,1088.63822881321,36.924720628336914,14733125.811280506,2510555.024491168,412721.41680000006,3762942.1615666854,21419344.414138358,3.4710291998026377,2.4842620872327075,73.24260366853943
0.3,0.064,0.5,125931914.35718943,4019.2419041173625,8685.215000000002,859.7549913876002,1201.2559766214729,40.74451931402694,14791915.407283839,2546591.670448761,412721.41680000006,3777957.430715683,21529185.925248284,3.1617514099347894,2.262907830738552,66.7164959112032
0.3,0.07,0.5,126432423.32882267,4076.11792362114,8685.215000000002,940.3570218301878,1313.8737244297363,44.56431799971698,14850705.003287172,2582628.3164063543,412721.41680000006,3792972.69986468,21639027.436358206,2.905492669758572,2.0795000182148216,61.30914948369598
0.4,0.04,0.5,125005332.73184144,3915.0984889503484,8685.215000000002,716.4624928230002,1001.0466471845608,33.95376609502245,14683079.47724933,2480606.402598941,412721.41680000006,3750159.9819552433,21326567.278603517,3.758394083063753,2.689932982979777,79.30632455401822
0.4,0.046,0.5,125672678.02735244,3990.933181622051,8685.215000000002,823.9318667464502,1151.203644262245,39.04683100927581,14761465.605253775,2528655.2638757317,412721.41680000006,3770180.340820573,21473022.626750078,3.2906121732570353,2.355135204933941,69.43560234135751
0.4,0.052000000000000005,0.5,126340023.32286341,4066.767874293754,8685.215000000002,931.4012406699003,1301.360641339929,44.13989592352919,14839851.733258218,2576704.1251525227,412721.41680000006,3790200.6996859023,21619477.97489664,2.930779934944175,2.097598452590991,61.84273910084924
0.4,0.058,0.5,127007368.6183744,4142.602566965457,8685.215000000002,1038.8706145933504,1451.5176384176134,49.232960837782564,14918237.861262662,2624752.9864293137,412721.41680000006,3810221.058551232,21765933.32304321,2.6453957459374253,1.8933451662500302,55.82081308251512
0.4,0.064,0.5,127674713.91388538,4218.43725963716,8685.215000000002,1146.3399885168005,1601.674635495298,54.32602575203593,14996623.989267105,2672801.847706105,412721.41680000006,3830241.4174165614,21912388.67118977,2.41352109236944,1.727389371097999,50.92799819261864
0.4,0.07,0.5,128342059.20939638,4294.271952308863,8685.215000000002,1253.8093624402504,1751.8316325729818,59.41909066628929,15075010.11727155,2720850.7089828956,412721.41680000006,3850261.7762818914,22058844.019336335,2.22139637941311,1.5898831408291743,46.87395156956157
