vs_destruction,ch4_kg_per_kg_vs,breakeven_$_per_MMBtu,biomethane_Nm3_hr,biomethane_kg_hr,ad_feed_vs_kg_hr,digestate_vs_kg_hr,raw_biogas_ch4_molfrac
0.3,0.04,99.40370301054116,750.7849853884208,537.3468696172501,45231.21798125001,31661.852586874986,0.5000100088591404
0.3,0.045,88.73837006980227,844.6331085619731,604.5152283194063,45231.21798125001,31661.852586874986,0.5000100088591405
0.3,0.05,80.20610371721116,938.481231735526,671.6835870215627,45231.21798125001,31661.852586874986,0.5000100088591405
0.3,0.0555,72.5962445378731,1041.7141672264336,745.5687815939345,45231.21798125001,31661.852586874986,0.5000100088591405
0.3,0.0625,64.84802428254712,1173.1015396694072,839.6044837769533,45231.21798125001,31661.852586874986,0.5000100088591405
0.3,0.07,58.265990239119674,1313.8737244297363,940.3570218301878,45231.21798125001,31661.852586874986,0.5000100088591405
0.36,0.04,83.40105051828267,900.9419824661046,644.8162435407,45231.21798125001,28947.979508000004,0.5000100088591405
0.36,0.045,74.5137900766836,1013.5597302743677,725.4182739832876,45231.21798125001,28947.979508000004,0.5000100088591405
0.36,0.05,67.40398172340433,1126.177478082631,806.0203044258752,45231.21798125001,28947.979508000004,0.5000100088591405
0.36,0.0555,61.06280130020931,1250.0570006717205,894.6825379127215,45231.21798125001,28947.979508000004,0.5000100088591405
0.36,0.0625,54.606326687501664,1407.7218476032886,1007.525380532344,45231.21798125001,28947.979508000004,0.5000100088591405
0.36,0.07,49.12161738640053,1576.648469315683,1128.4284261962252,45231.21798125001,28947.979508000004,0.5000100088591406
0.42,0.04,71.95285503591107,1051.0989795437888,752.2856174641502,45231.21798125001,26234.106429124993,0.5000100088591406
0.42,0.045,64.33761631457551,1182.4863519867624,846.3213196471688,45231.21798125001,26234.106429124993,0.5000100088591405
0.42,0.05,58.24542533750705,1313.873724429736,940.3570218301877,45231.21798125001,26234.106429124993,0.5000100088591405
0.42,0.0555,52.81184960120276,1458.3998341170072,1043.7962942315085,45231.21798125001,26234.106429124993,0.5000100088591405
0.42,0.0625,47.27948157878386,1642.3421555371697,1175.4462772877343,45231.21798125001,26234.106429124993,0.5000100088591406
0.42,0.07,42.579791396473915,1839.4232142016301,1316.4998305622626,45231.21798125001,26234.106429124993,0.5000100088591405
0.48,0.04,63.38222166354594,1201.2559766214727,859.7549913876001,45231.21798125001,23520.23335025001,0.5000100088591405
0.48,0.045,56.71927553913985,1351.4129736991572,967.2243653110502,45231.21798125001,23520.23335025001,0.5000100088591405
0.48,0.05,51.38891863961496,1501.5699707768415,1074.6937392345003,45231.21798125001,23520.23335025001,0.5000100088591404
0.48,0.0555,46.63481654003872,1666.7426675622933,1192.910050550295,45231.21798125001,23520.23335025001,0.5000100088591406
0.48,0.0625,41.79427622047018,1876.9624634710515,1343.3671740431253,45231.21798125001,23520.23335025001,0.5000100088591405
0.48,0.07,37.682286612265266,2102.197959087578,1504.5712349283006,45231.21798125001,23520.23335025001,0.5000100088591405
0.54,0.04,56.70238393889434,1351.4129736991574,967.2243653110504,45231.21798125001,20806.36027137503,0.5000100088591405
0.54,0.045,50.78164200611621,1520.3395954115517,1088.1274109749313,45231.21798125001,20806.36027137503,0.5000100088591405
0.54,0.05,46.045048459893685,1689.2662171239467,1209.030456638813,45231.21798125001,20806.36027137503,0.5000100088591406
0.54,0.0555,41.82051908083037,1875.0855010075807,1342.0238068690821,45231.21798125001,20806.36027137503,0.5000100088591405
0.54,0.0625,37.51918007669316,2111.582771404933,1511.2880707985157,45231.21798125001,20806.36027137503,0.5000100088591405
0.54,0.07,33.865236483892915,2364.9727039735253,1692.642639294338,45231.21798125001,20806.36027137503,0.5000100088591405
0.6,0.04,51.370924350703916,1501.5699707768415,1074.6937392345003,45231.21798125001,18092.48719249999,0.5000100088591404
0.6,0.045,46.0425668166136,1689.2662171239463,1209.0304566388127,45231.21798125001,18092.48719249999,0.5000100088591405
0.6,0.05,41.77988078934134,1876.962463471052,1343.3671740431255,45231.21798125001,18092.48719249999,0.5000100088591405
0.6,0.0555,37.97802568393635,2083.428334452867,1491.137563187869,45231.21798125001,18092.48719249999,0.5000100088591405
0.6,0.0625,34.107045940251275,2346.2030793388144,1679.2089675539066,45231.21798125001,18092.48719249999,0.5000100088591405
0.6,0.07,30.818688147784105,2627.7474488594726,1880.7140436603756,45231.21798125001,18092.48719249999,0.5000100088591405
