case,area,purchase_cost_$,installed_cost_$,annual_utility_cost_$
basecase,preprocessing,66822881.96136936,66822881.96136936,1670356.435338629
basecase,anaerobic_digestion,52629845.193732195,52629845.193732195,789635.7528573384
basecase,upgrading,7716179.97934576,7716179.97934576,543064.7469463546
basecase,digestate_handling,1103636.9399999997,1103636.9399999997,72681.73473563317
low_performance,preprocessing,66822881.96136936,66822881.96136936,1670356.435338629
low_performance,anaerobic_digestion,52629845.193732195,52629845.193732195,789635.7528573384
low_performance,upgrading,4379453.501790836,4379453.501790836,308225.9374560391
low_performance,digestate_handling,1140424.8379999998,1140424.8379999998,75497.10992430581
high_performance,preprocessing,66822881.96136936,66822881.96136936,1670356.435338629
high_performance,anaerobic_digestion,52629845.193732195,52629845.193732195,789635.7528573384
high_performance,upgrading,11678542.671442235,11678542.671442235,821935.8332161047
high_performance,digestate_handling,1066849.042,1066849.042,70804.81794318478
