case,stream,ID,phase,F_mass_kg_hr,water_wt_frac,TS_kg_hr,VS_kg_hr,Water_kg_hr,CH4_kg_hr,CO2_kg_hr,Glucan_kg_hr,Xylan_kg_hr,Alginate_kg_hr,Fucoidan_kg_hr,Mannitol_kg_hr,Protein_kg_hr,OtherSolids_kg_hr,Ash_kg_hr
basecase,feed,sargassum_feed,l,625000.0000000001,0.8672999999999998,82937.50000000012,54299.18125000011,542062.5,0.0,0.0,7977.802783653846,490.78106129807696,6870.934858173079,2234.6201514423083,5419.475974759617,6265.29014423077,23181.573533653853,28638.318750000006
basecase,pressed_cake,pressed_cake,l,232225.00000000012,0.6499999999999999,81278.75000000006,53213.19762500005,150946.25000000006,0.0,0.0,7818.246727980769,480.9654400721154,6733.5161610096175,2189.9277484134623,5311.086455264424,6139.984341346155,22717.942062980776,28065.552375000007
basecase,pressate,pressate,l,392774.99999999994,0.9957768442492522,1658.75,1085.9836250000008,391116.24999999994,0.0,0.0,159.55605567307703,9.815621225961536,137.41869716346173,44.692403028846,108.38951949519287,125.30580288461533,463.6314706730773,572.7663749999992
basecase,milled_biomass,milled_biomass,l,197391.25000000006,0.65,69086.93750000001,45231.21798125001,128304.31250000004,0.0,0.0,6645.509718783654,408.82062406129813,5723.488736858175,1861.438586151443,4514.423486974761,5218.986690144232,19310.25075353366,23855.719518750004
basecase,milling_losses,milling_losses,l,34833.75000000001,0.65,12191.8125,7981.979643749999,22641.937500000007,0.0,0.0,1172.7370091971152,72.14481601081731,1010.0274241514426,328.4891622620193,796.6629682896636,920.9976512019232,3407.691309447116,4209.832856250001
basecase,raw_biogas,biogas,g,4698.481179300198,0.0,0.0,0.0,0.0,1255.1662989796878,3443.3148803205104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
basecase,digestate,digestate,l,174775.64100937505,0.7341086650233927,46471.328509375,22615.608990624998,128304.31250000004,0.0,0.0,3309.925690050545,203.6210830266697,2850.695162373376,927.1257822916452,2248.496640230672,2599.4180811915285,9617.846900408656,23855.719518750004
basecase,biomethane,biomethane,g,1414.7803800059166,0.0,0.0,0.0,0.0,1242.6146359898908,172.16574401602585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
basecase,offgas,offgas,g,3283.7007992942818,0.0,0.0,0.0,0.0,12.551662989796856,3271.1491363044847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
basecase,soil_amendment,soil_amendment,l,37177.062807500006,0.5,18588.531403750003,9046.243596250002,18588.531403750003,0.0,0.0,1323.970276020218,81.44843321066787,1140.2780649493504,370.8503129166581,899.3986560922687,1039.7672324766113,3847.1387601634624,9542.2878075
basecase,liquid_digestate,liquid_digestate,l,137598.57820187503,0.7973612992954237,27882.797105624995,13569.365394374992,109715.78109625004,0.0,0.0,1985.9554140303271,122.17264981600184,1710.4170974240258,556.2754693749871,1349.0979841384033,1559.6508487149172,5770.708140245194,14313.431711250003
low_performance,feed,sargassum_feed,l,625000.0000000001,0.8672999999999998,82937.50000000012,54299.18125000011,542062.5,0.0,0.0,7977.802783653846,490.78106129807696,6870.934858173079,2234.6201514423083,5419.475974759617,6265.29014423077,23181.573533653853,28638.318750000006
low_performance,pressed_cake,pressed_cake,l,232225.00000000012,0.6499999999999999,81278.75000000006,53213.19762500005,150946.25000000006,0.0,0.0,7818.246727980769,480.9654400721154,6733.5161610096175,2189.9277484134623,5311.086455264424,6139.984341346155,22717.942062980776,28065.552375000007
low_performance,pressate,pressate,l,392774.99999999994,0.9957768442492522,1658.75,1085.9836250000008,391116.24999999994,0.0,0.0,159.55605567307703,9.815621225961536,137.41869716346173,44.692403028846,108.38951949519287,125.30580288461533,463.6314706730773,572.7663749999992
low_performance,milled_biomass,milled_biomass,l,197391.25000000006,0.65,69086.93750000001,45231.21798125001,128304.31250000004,0.0,0.0,6645.509718783654,408.82062406129813,5723.488736858175,1861.438586151443,4514.423486974761,5218.986690144232,19310.25075353366,23855.719518750004
