case,unit,line,purchase_cost_$,installed_cost_$,utility_cost_$_per_hr,annual_utility_cost_$
basecase,PR,Press,63488249.529996336,63488249.529996336,35.74637124076846,283111.2602268862
basecase,ML,Mill,3334632.4313730216,3334632.4313730216,175.15721907976553,1387245.1751117432
basecase,AD,AnaerobicDigester,52629845.193732195,52629845.193732195,99.70148394663364,789635.7528573384
basecase,UP,BiogasUpgrading,7716179.97934576,7716179.97934576,68.56878118009529,543064.7469463546
basecase,SP,DigestateScrewPress,1103636.9399999997,1103636.9399999997,9.176986709044593,72681.73473563317
low_performance,PR,Press,63488249.529996336,63488249.529996336,35.74637124076846,283111.2602268862
low_performance,ML,Mill,3334632.4313730216,3334632.4313730216,175.15721907976553,1387245.1751117432
low_performance,AD,AnaerobicDigester,52629845.193732195,52629845.193732195,99.70148394663364,789635.7528573384
low_performance,UP,BiogasUpgrading,4379453.501790836,4379453.501790836,38.91741634545948,308225.9374560391
low_performance,SP,DigestateScrewPress,1140424.8379999998,1140424.8379999998,9.532463374281036,75497.10992430581
high_performance,PR,Press,63488249.529996336,63488249.529996336,35.74637124076846,283111.2602268862
high_performance,ML,Mill,3334632.4313730216,3334632.4313730216,175.15721907976553,1387245.1751117432
high_performance,AD,AnaerobicDigester,52629845.193732195,52629845.193732195,99.70148394663364,789635.7528573384
high_performance,UP,BiogasUpgrading,11678542.671442235,11678542.671442235,103.77977692122532,821935.8332161047
high_performance,SP,DigestateScrewPress,1066849.042,1066849.042,8.940002265553634,70804.81794318478
