case,unit,line,purchase_cost_$,installed_cost_$,utility_cost_$_per_hr,annual_utility_cost_$
one_dewatering_basecase,U101,FeedStockHandling,0.0,0.0,295.5980654086191,2485861.490860323
one_dewatering_basecase,M202,SteamMixer,0.0,0.0,0.0,0.0
one_dewatering_basecase,M203,Mixer,0.0,0.0,0.0,0.0
one_dewatering_basecase,U_SW2S,Unit,0.0,0.0,0.0,0.0
one_dewatering_basecase,S301,Splitter,0.0,0.0,0.0,0.0
one_dewatering_basecase,S302,MockSplitter,0.0,0.0,0.0,0.0
one_dewatering_basecase,S303,MockSplitter,0.0,0.0,0.0,0.0
one_dewatering_basecase,M302,Mixer,0.0,0.0,0.0,0.0
one_dewatering_basecase,M303,Mixer,0.0,0.0,0.0,0.0
one_dewatering_basecase,M401,Mixer,0.0,0.0,0.0,0.0
one_dewatering_basecase,M402,Mixer,0.0,0.0,0.0,0.0
one_dewatering_basecase,U_DEHYD,Splitter,0.0,0.0,0.0,0.0
