case,stream,ID,F_mass_kg_hr,water_wt_frac,Water_kg_hr,Ethanol_kg_hr,Glucose_kg_hr,Xylose_kg_hr,Alginate_kg_hr,Fucoidan_kg_hr,Mannitol_kg_hr,Ash_kg_hr
one_dewatering_basecase,feedstock,feedstock,625000.0,0.85,531250.0,0.0,0.0,0.0,6168.75,2006.25,4865.625,45000.0
one_dewatering_basecase,feed_dewatered_cake,feed_dewatered_cake,232047.53906249997,0.6,139228.52343749997,0.0,0.0,0.0,6137.90625,1996.21875,4379.0625,44775.0
one_dewatering_basecase,feed_pressate,feed_pressate,392952.4609375,0.997630796425657,392021.4765625,0.0,0.0,0.0,30.84375,10.03125,486.5624999999998,225.0
one_dewatering_basecase,pretreated_biomass,sabre_pretreated_biomass,453001.8867850744,0.7888473195779651,357349.32415416674,0.0,783.9341358469285,448.38496319639904,6137.90625,1996.21875,4379.0625,44775.0
one_dewatering_basecase,pretreated_with_sugars,pretreated_with_sugars,453001.8867850745,0.788847319577965,357349.32415416674,0.0,12264.75601084693,448.38496319639904,613.7906249999996,199.62187500000005,218.953125,44775.0
one_dewatering_basecase,dewatered_cake,pretreated_with_sugars,453001.8867850745,0.788847319577965,357349.32415416674,0.0,12264.75601084693,448.38496319639904,613.7906249999996,199.62187500000005,218.953125,44775.0
one_dewatering_basecase,pressate,pressate_bypass,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
one_dewatering_basecase,beer_raw,beer,369733.9207064543,0.9579437674551158,354184.30495749187,8671.57413403028,315.38015319954513,27.810641275809424,11.600642812500041,3.772853437500004,210.82120593750003,899.9775000000009
one_dewatering_basecase,vent,vent,8266.484098878647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
one_dewatering_basecase,lignin,lignin,112616.74076141059,0.35,39415.8592664937,0.0,679.9149221813335,16.886177713976387,602.1899821874996,195.84902156250004,8.131919062500002,43875.0225
one_dewatering_basecase,stillage,stillage,352334.6526456763,0.9805107394989669,345467.9108167237,3.4547394367217934,315.38015319954513,27.810641275809424,11.600642812500041,3.772853437500004,210.82120593750003,899.9775000000009
one_dewatering_basecase,wet_ethanol,wet_ethanol,8947.464003623829,0.008055401208234584,72.07541234542684,8668.032949896728,0.0,0.0,0.0,0.0,0.0,0.0
one_dewatering_basecase,ethanol,ethanol,8625.053162208971,4.17825901996919e-05,0.3603770617271342,8624.692785147245,0.0,0.0,0.0,0.0,0.0,0.0
one_dewatering_basecase,recycle_process_water,recycle_process_water_dehyd,322.4108414148586,0.2224336966120229,71.71503528369969,43.340164749483826,0.0,0.0,0.0,0.0,0.0,0.0
no_dewatering,feedstock,feedstock,625000.0,0.85,531250.0,0.0,0.0,0.0,6168.75,2006.25,4865.625,45000.0
no_dewatering,feed_dewatered_cake,s1,625000.0,0.85,531250.0,0.0,0.0,0.0,6168.75,2006.25,4865.625,45000.0
no_dewatering,feed_pressate,feed_pressate_bypass,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_dewatering,pretreated_biomass,sabre_pretreated_biomass,855683.6003154027,0.887094309075322,759072.0522088762,0.0,787.8735033637472,450.6381539662302,6168.75,2006.25,4865.625,45000.0
no_dewatering,pretreated_with_sugars,pretreated_with_sugars,855683.6003154027,0.887094309075322,759072.0522088762,0.0,12767.717253363746,450.6381539662302,616.875,200.625,243.28125,45000.0
no_dewatering,dewatered_cake,pretreated_with_sugars,855683.6003154027,0.887094309075322,759072.0522088762,0.0,12767.717253363746,450.6381539662302,616.875,200.625,243.28125,45000.0
no_dewatering,pressate,pressate_bypass,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_dewatering,beer_raw,beer,750347.9551460189,0.97793773214494,733793.5775750908,8916.089264780985,324.4308118334224,27.950393242019533,11.658937499999979,3.791812499999992,234.245784375,904.5
no_dewatering,vent,vent,8498.689946692053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_dewatering,lignin,lignin,113209.52924686826,0.3500000000000001,39623.3352364039,0.0,699.4268597535386,16.97103287836823,605.2160625,196.8331875,9.035465625,44095.5
no_dewatering,stillage,stillage,732465.0969396235,0.9895831516605231,724835.1191108432,7.248477768000457,324.4308118334224,27.950393242019533,11.658937499999979,3.791812499999992,234.245784375,904.5
no_dewatering,wet_ethanol,wet_ethanol,9196.346406517454,0.00805504788935038,74.07701071155337,8908.751941650711,0.0,0.0,0.0,0.0,0.0,0.0
no_dewatering,ethanol,ethanol,8864.578566996015,4.1782590199691935e-05,0.37038505355776685,8864.208181942457,0.0,0.0,0.0,0.0,0.0,0.0
no_dewatering,recycle_process_water,recycle_process_water_dehyd,331.76783952143865,0.2221632626125376,73.7066256579956,44.54375970825414,0.0,0.0,0.0,0.0,0.0,0.0
