alpha,msp_biomethane_mmbtu,msp_biomethane_ch4,msp_oil_usd_per_kg,combined_npv_M,tci_M,voc_M,foc_M,oil_kg_yr,ok,scenario_name,scenario_label
0.0,,,5.625548104148189,-54.216689995909356,279.8936523389643,25.047828594516165,10.66261532719864,11408454.72049541,True,near_zero_press_mill_base,Near-zero feed | press_mill_only | biostim $0.50/kg
0.1,290.18067860277654,15.263503694506047,6.016395405485302,-75.42228924368517,276.199614204243,23.753619526749787,10.521890064923541,10267609.24844587,True,near_zero_press_mill_base,Near-zero feed | press_mill_only | biostim $0.50/kg
0.2,139.36531153494087,7.3306153867378905,6.501373055195387,-97.59495747336425,272.3038359710517,22.459308293321136,10.373479465563873,9126763.776396329,True,near_zero_press_mill_base,Near-zero feed | press_mill_only | biostim $0.50/kg
0.3,89.53790523048546,4.7096938151235355,7.160453566112669,-122.10781109019011,270.16511759909315,21.16499828183221,10.292004479965453,7985918.304346777,True,near_zero_press_mill_base,Near-zero feed | press_mill_only | biostim $0.50/kg
0.4,63.92432457921636,3.3624194728667804,7.95216307058707,-141.70645184576986,264.33675049725116,19.870678649346203,10.06997144751433,6845072.832297233,True,near_zero_press_mill_base,Near-zero feed | press_mill_only | biostim $0.50/kg
0.5,48.99701795619418,2.5772431444958137,9.142817213750092,-165.1743269082489,261.4133233957239,18.57638665878314,9.958602796027579,5704227.360247705,True,near_zero_press_mill_base,Near-zero feed | press_mill_only | biostim $0.50/kg
0.6,38.660603783040855,2.033547758987949,10.821071827603095,-184.58861402193943,255.444542575822,17.282383595849726,9.731220669555125,4563381.888198164,True,near_zero_press_mill_base,Near-zero feed | press_mill_only | biostim $0.50/kg
0.7,31.45284838225145,1.6544198249064264,13.69453073705247,-206.15813171028188,251.0939021274269,15.988389835034686,9.56548198580674,3422536.4161486235,True,near_zero_press_mill_base,Near-zero feed | press_mill_only | biostim $0.50/kg
0.8,26.037032303380055,1.369547899157791,19.43398492954333,-227.58721545488334,246.63822834973408,14.694331405199367,9.395742032370821,2281690.944099082,True,near_zero_press_mill_base,Near-zero feed | press_mill_only | biostim $0.50/kg
0.9,21.789803084728668,1.146143642256728,36.59368988840414,-248.4644699203393,241.76921075294698,13.400117129665167,9.210255647731314,1140845.472049541,True,near_zero_press_mill_base,Near-zero feed | press_mill_only | biostim $0.50/kg
1.0,18.19312008882434,0.9569581166721602,,-265.84900103739733,234.3299095434593,12.097636116260912,8.926853696893689,0.0,True,near_zero_press_mill_base,Near-zero feed | press_mill_only | biostim $0.50/kg
