alpha,msp_biomethane_mmbtu,msp_biomethane_ch4,msp_oil_usd_per_kg,combined_npv_M,tci_M,voc_M,foc_M,oil_kg_yr,ok,scenario_name,scenario_label,group_label,pretreatment_label
0.0,,,7.480063200496108,-230.66188013166115,281.3692229107516,19.083520045893838,10.718827539457202,11408454.72049541,True,pe_feed0_bio0,PE | feed $0/kg | biostim $0/kg,"Feed $0/kg
Biostim $0/kg",PE
0.1,146.1422242321644,7.687080994611849,8.393118616664484,-270.6214525688279,287.90035556124946,19.419294514458418,10.9676325928095,10267609.24844587,True,pe_feed0_bio0,PE | feed $0/kg | biostim $0/kg,"Feed $0/kg
Biostim $0/kg",PE
0.2,72.56026093423206,3.8166697251406068,9.376246188758733,-298.675853093944,285.4934426596315,19.754966818848178,10.875940672747864,9126763.776396329,True,pe_feed0_bio0,PE | feed $0/kg | biostim $0/kg,"Feed $0/kg
Biostim $0/kg",PE
0.3,48.19675964218977,2.535149557179182,10.676556752467446,-329.1199310329767,284.88074941267854,20.090640347177953,10.852599977625848,7985918.304346777,True,pe_feed0_bio0,PE | feed $0/kg | biostim $0/kg,"Feed $0/kg
Biostim $0/kg",PE
0.4,35.74282840836316,1.8800727742799022,12.316514276527016,-354.2701989251727,280.29315427647373,20.426342696296906,10.677834448627571,6845072.832297233,True,pe_feed0_bio0,PE | feed $0/kg | biostim $0/kg,"Feed $0/kg
Biostim $0/kg",PE
0.5,28.458644205029668,1.4969246851845606,14.709718561045815,-383.99536801228004,279.14081587017694,20.76199578239435,10.633935842673406,5704227.360247705,True,pe_feed0_bio0,PE | feed $0/kg | biostim $0/kg,"Feed $0/kg
Biostim $0/kg",PE
0.6,23.45282965379856,1.2336188397898042,18.183465866228147,-409.35341157228834,274.7074695566168,21.097976265521687,10.465046459299687,4563381.888198164,True,pe_feed0_bio0,PE | feed $0/kg | biostim $0/kg,"Feed $0/kg
Biostim $0/kg",PE
0.7,19.943246507554367,1.0490147662973597,24.052642710164182,-436.95784494120306,271.96070811576703,21.43396605838771,10.360407928219699,3422536.4161486235,True,pe_feed0_bio0,PE | feed $0/kg | biostim $0/kg,"Feed $0/kg
Biostim $0/kg",PE
0.8,17.30802717748072,0.9104022295354859,35.78472773241632,-464.44432688160003,269.1257936550022,21.769891198832923,10.252411186857229,2281690.944099082,True,pe_feed0_bio0,PE | feed $0/kg | biostim $0/kg,"Feed $0/kg
Biostim $0/kg",PE
0.9,15.248792162101882,0.802086467726559,70.93623137348246,-491.5097981918938,265.97575681228255,22.105660550059312,10.13240978332505,1140845.472049541,True,pe_feed0_bio0,PE | feed $0/kg | biostim $0/kg,"Feed $0/kg
Biostim $0/kg",PE
1.0,13.54309326127155,0.7123667055428836,,-515.7386815999447,260.7480606112671,22.43316602474459,9.933259451857793,0.0,True,pe_feed0_bio0,PE | feed $0/kg | biostim $0/kg,"Feed $0/kg
Biostim $0/kg",PE
