alpha,msp_biomethane_mmbtu,msp_biomethane_ch4,msp_oil_usd_per_kg,combined_npv_M,tci_M,voc_M,foc_M,oil_kg_yr,ok,scenario_name,scenario_label,group_label,pretreatment_label
0.0,,,-5.910554130974304,843.5093713171534,281.36922291075155,-79.91647995410617,10.7188275394572,11408454.72049541,True,pe_tip_bio1,PE | tipping fee | biostim $1/kg,"Tipping fee
Biostim $1/kg",PE
0.1,-112.92378902517463,-5.939791302724186,-6.485345087028507,812.2194855801789,287.9003555612495,-79.5807054855416,10.967632592809505,10267609.24844587,True,pe_tip_bio1,PE | tipping fee | biostim $1/kg,"Tipping fee
Biostim $1/kg",PE
0.2,-56.972745686412146,-2.996766423105279,-7.36202547685885,789.9539930146701,285.4934426596314,-79.24503318115184,10.875940672747863,9126763.776396329,True,pe_tip_bio1,PE | tipping fee | biostim $1/kg,"Tipping fee
Biostim $1/kg",PE
0.3,-38.15857810287953,-2.0071412082114635,-8.452896579217935,765.8770753787949,284.88074941267854,-78.90935965282206,10.852599977625848,7985918.304346777,True,pe_tip_bio1,PE | tipping fee | biostim $1/kg,"Tipping fee
Biostim $1/kg",PE
0.4,-29.023674892660136,-1.5266452993539232,-10.001181274425551,745.8129671453266,280.29315427647373,-78.57365730370311,10.67783444862757,6845072.832297233,True,pe_tip_bio1,PE | tipping fee | biostim $1/kg,"Tipping fee
Biostim $1/kg",PE
0.5,-23.354558433720772,-1.2284497736137125,-12.07151609902821,722.2810027303917,279.14081587017694,-78.23800421760566,10.633935842673406,5704227.360247705,True,pe_tip_bio1,PE | tipping fee | biostim $1/kg,"Tipping fee
Biostim $1/kg",PE
0.6,-19.72483920593883,-1.0375265422323825,-15.293077454299242,702.0593215439316,274.70746955661684,-77.90202373447832,10.465046459299689,4563381.888198164,True,pe_tip_bio1,PE | tipping fee | biostim $1/kg,"Tipping fee
Biostim $1/kg",PE
0.7,-17.066183940139453,-0.8976812752513352,-20.582748379639526,680.1348280734513,271.96070811576715,-77.5660339416123,10.360407928219699,3422536.4161486235,True,pe_tip_bio1,PE | tipping fee | biostim $1/kg,"Tipping fee
Biostim $1/kg",PE
0.8,-15.075224460956498,-0.7929568066463119,-31.168358895477116,658.2997615845144,269.12579365500227,-77.23010880116709,10.252411186857229,2281690.944099082,True,pe_tip_bio1,PE | tipping fee | biostim $1/kg,"Tipping fee
Biostim $1/kg",PE
0.9,-13.53632040205567,-0.7120104531481283,-62.969941866756784,636.7838716808932,265.9757568122826,-76.89433944994072,10.132409783325052,1140845.472049541,True,pe_tip_bio1,PE | tipping fee | biostim $1/kg,"Tipping fee
Biostim $1/kg",PE
1.0,-12.363508041481655,-0.6503205229819351,,617.4203937616473,260.7480606112671,-76.56683397525542,9.933259451857793,0.0,True,pe_tip_bio1,PE | tipping fee | biostim $1/kg,"Tipping fee
Biostim $1/kg",PE
