alpha,msp_biomethane_mmbtu,msp_biomethane_ch4,msp_oil_usd_per_kg,combined_npv_M,tci_M,voc_M,foc_M,oil_kg_yr,ok,scenario_name,scenario_label,group_label,pretreatment_label
0.0,,,3.2691268090465355,143.4068060750485,279.8936523389643,25.04782859451617,10.66261532719864,11408454.72049541,True,pm_feed0_bio1,Press and mill | feed $0/kg | biostim $1/kg,"Feed $0/kg
Biostim $1/kg",Press and mill
0.1,163.8983589034288,8.621053678320354,3.3981495191931606,124.46602156842705,276.199614204243,23.753619526749787,10.521890064923541,10267609.24844587,True,pm_feed0_bio1,Press and mill | feed $0/kg | biostim $1/kg,"Feed $0/kg
Biostim $1/kg",Press and mill
0.2,76.22415160565514,4.00939037445746,3.555846429402844,105.6236383805888,272.3038359710517,22.459308293321136,10.373479465563873,9126763.776396329,True,pm_feed0_bio1,Press and mill | feed $0/kg | biostim $1/kg,"Feed $0/kg
Biostim $1/kg",Press and mill
0.3,47.44379854964014,2.4955438037110715,3.79413741744581,84.71120444446487,270.16511759909315,21.164998281832208,10.292004479965453,7985918.304346777,True,pm_feed0_bio1,Press and mill | feed $0/kg | biostim $1/kg,"Feed $0/kg
Biostim $1/kg",Press and mill
0.4,32.353744512433586,1.7018069613540066,4.024794223490838,67.90248570123045,264.3367504972513,19.870678649346203,10.069971447514334,6845072.832297233,True,pm_feed0_bio1,Press and mill | feed $0/kg | biostim $1/kg,"Feed $0/kg
Biostim $1/kg",Press and mill
0.5,23.740553850410674,1.2487531325316015,4.4299745874647805,47.62358342353808,261.4133233957239,18.57638665878314,9.958602796027577,5704227.360247705,True,pm_feed0_bio1,Press and mill | feed $0/kg | biostim $1/kg,"Feed $0/kg
Biostim $1/kg",Press and mill
0.6,17.613546584645213,0.9264725503523383,4.930017487592575,30.808503187559506,255.444542575822,17.282383595849723,9.731220669555125,4563381.888198164,True,pm_feed0_bio1,Press and mill | feed $0/kg | biostim $1/kg,"Feed $0/kg
Biostim $1/kg",Press and mill
0.7,13.412516771011322,0.7054983821551956,5.839792979941815,11.910745778778667,251.0939021274269,15.988389835034683,9.56548198580674,3422536.4161486235,True,pm_feed0_bio1,Press and mill | feed $0/kg | biostim $1/kg,"Feed $0/kg
Biostim $1/kg",Press and mill
0.8,10.251742077318632,0.5392416332669601,7.65187824444615,-7.059287216168229,246.63822834973402,14.694331405199367,9.39574203237082,2281690.944099082,True,pm_feed0_bio1,Press and mill | feed $0/kg | biostim $1/kg,"Feed $0/kg
Biostim $1/kg",Press and mill
0.9,7.758433916077539,0.40809362398567856,13.029476385841958,-25.73901542070729,241.76921075294695,13.400117129665167,9.210255647731312,1140845.472049541,True,pm_feed0_bio1,Press and mill | feed $0/kg | biostim $1/kg,"Feed $0/kg
Biostim $1/kg",Press and mill
1.0,5.564887908071588,0.29271310396456557,,-41.41760354336149,234.3299095434593,12.097636116260912,8.926853696893689,0.0,True,pm_feed0_bio1,Press and mill | feed $0/kg | biostim $1/kg,"Feed $0/kg
Biostim $1/kg",Press and mill
