alpha,msp_biomethane_mmbtu,msp_biomethane_ch4,msp_oil_usd_per_kg,combined_npv_M,tci_M,voc_M,foc_M,oil_kg_yr,ok,scenario_name,scenario_label,group_label,pretreatment_label
0.0,,,-5.910554130974304,843.5093713171534,281.3692229107516,-79.91647995410617,10.718827539457203,11408454.72049541,True,pm_tip_bio1,Press and mill | tipping fee | biostim $1/kg,"Tipping fee
Biostim $1/kg",Press and mill
0.1,-325.48261937154854,-17.120385778943454,-6.7483202023691495,821.9800945034411,277.36288596978613,-80.61425847638998,10.566205179801374,10267609.24844587,True,pm_tip_bio1,Press and mill | tipping fee | biostim $1/kg,"Tipping fee
Biostim $1/kg",Press and mill
0.2,-167.1797176139954,-8.793653146496158,-7.798911361083583,800.6438794142225,273.1659917196953,-81.31213916284858,10.40632349408363,9126763.776396329,True,pm_tip_bio1,Press and mill | tipping fee | biostim $1/kg,"Tipping fee
Biostim $1/kg",Press and mill
0.3,-113.95501216235391,-5.994033639739816,-9.113118864171527,777.4831033734791,270.776328295539,-82.01001862536717,10.315288696972912,7985918.304346777,True,pm_tip_bio1,Press and mill | tipping fee | biostim $1/kg,"Tipping fee
Biostim $1/kg",Press and mill
0.4,-88.09519952214515,-4.633807494864835,-10.959011251935394,758.3276846648536,264.4191443036937,-82.70786926709658,10.073110259188331,6845072.832297233,True,pm_tip_bio1,Press and mill | tipping fee | biostim $1/kg,"Tipping fee
Biostim $1/kg",Press and mill
0.5,-72.05730775534882,-3.7902143879313477,-13.445854894906008,735.699348572987,261.5022301933164,-83.40576917184751,9.96198972165015,5704227.360247705,True,pm_tip_bio1,Press and mill | tipping fee | biostim $1/kg,"Tipping fee
Biostim $1/kg",Press and mill
0.6,-61.77955447416195,-3.2496045653409187,-17.292047485701268,716.3775308815356,255.30803726107848,-84.10334167956853,9.726020467088704,4563381.888198164,True,pm_tip_bio1,Press and mill | tipping fee | biostim $1/kg,"Tipping fee
Biostim $1/kg",Press and mill
0.7,-54.25516789350054,-2.8538218311981285,-23.622632053278615,695.3499397940989,250.8033622012078,-84.80090487755086,9.55441379814125,3422536.4161486235,True,pm_tip_bio1,Press and mill | tipping fee | biostim $1/kg,"Tipping fee
Biostim $1/kg",Press and mill
0.8,-48.62004928296449,-2.557414592283932,-36.28990024781449,674.4093568162951,246.21293002896135,-85.49853272795403,9.37954019157948,2281690.944099082,True,pm_tip_bio1,Press and mill | tipping fee | biostim $1/kg,"Tipping fee
Biostim $1/kg",Press and mill
0.9,-44.263657006980715,-2.3282683585671857,-74.33617144412614,653.7859194741767,241.30938714288948,-86.19631636757602,9.19273855782436,1140845.472049541,True,pm_tip_bio1,Press and mill | tipping fee | biostim $1/kg,"Tipping fee
Biostim $1/kg",Press and mill
1.0,-40.939933486444936,-2.1534405013870037,,635.3131529410647,234.3299095434593,-86.9023638837391,8.926853696893689,0.0,True,pm_tip_bio1,Press and mill | tipping fee | biostim $1/kg,"Tipping fee
Biostim $1/kg",Press and mill
