alpha,msp_biomethane_mmbtu,msp_biomethane_ch4,msp_oil_usd_per_kg,combined_npv_M,tci_M,voc_M,foc_M,oil_kg_yr,ok,scenario_name
0.0,,,-2.9729518024162496,369.60156479999506,283.7706558745471,-80.4365403687855,10.810310699982747,13350319.35377123,True,tipping_fee
0.1,-195.42573608161436,-10.279393717892916,-3.4624603100138764,387.3449694846709,279.7217342075561,-81.0822662472665,10.656066065049755,12015287.418394106,True,tipping_fee
0.2,-102.55216126900717,-5.394243682749777,-4.088183517914571,405.97608219543736,274.75850655214435,-81.72810177259001,10.466990725795975,10680255.483016983,True,tipping_fee
0.3,-70.99076485166917,-3.734114231197798,-4.851439577386535,422.1979567624784,272.18156983435904,-82.37392599451574,10.368821707975583,9345223.547639847,True,tipping_fee
0.4,-55.90286045367692,-2.940490459863406,-5.942761872149692,442.10727121085273,265.9533838304762,-83.0199301433681,10.131557479256236,8010191.612262721,True,tipping_fee
0.5,-46.35960768730431,-2.438515364352207,-7.392397457019797,458.7531287473461,262.95678568425916,-83.66579944657451,10.017401359400349,6675159.676885615,True,tipping_fee
0.6,-40.46119543734819,-2.128258880004515,-9.677775110064529,479.10134644038635,256.2907781937471,-84.31133422920746,9.76345821690465,5340127.741508491,True,tipping_fee
0.7,-36.02926726156268,-1.895139457958197,-13.405338100601213,497.41182731744965,251.6434625723403,-84.95691480416905,9.58641762180344,4005095.806131367,True,tipping_fee
0.8,-32.73835102849097,-1.7220372640986248,-20.881531571399766,516.0738990677135,246.64771236586344,-85.60246774194455,9.39610332822337,2670063.8707542457,True,tipping_fee
0.9,-30.18545478534298,-1.5877549217090408,-43.319734849640966,534.8163629645641,241.5738784394001,-86.24825576422344,9.20281441673905,1335031.9353771228,True,tipping_fee
1.0,-28.311701800467713,-1.4891955147046017,,555.8049738974656,234.3299095434593,-86.9023638837391,8.926853696893689,0.0,True,tipping_fee
