case,unit,line,purchase_cost_$,installed_cost_$,utility_cost_$_per_hr,annual_utility_cost_$
one_dewatering_basecase,U101,FeedStockHandling,0.0,0.0,295.5980654086191,2485861.490860323
one_dewatering_basecase,U_DW0,ScrewPress,42617016.90098346,59237653.492367,1329.9,11183927.039999997
one_dewatering_basecase,T201,SulfuricAcidStorageTank,110365.21231740135,171988.8899040935,0.03103538025927562,260.99513382840416
one_dewatering_basecase,T202,SulfuricAcidTank,11462.579622274152,24482.90603788137,0.03305434854495968,277.9738495236928
one_dewatering_basecase,M201,SulfuricAcidMixer,2753.3974494549575,2753.3974494549575,0.0,0.0
one_dewatering_basecase,M202,SteamMixer,0.0,0.0,0.0,0.0
one_dewatering_basecase,R201,PretreatmentReactorSystem,21523117.983965054,32341002.318833902,297.9700699402929,2505809.1001698864
one_dewatering_basecase,P201,BlowdownDischargePump,29202.35953011703,67165.42691926917,6.748013519548999,56748.09449399925
one_dewatering_basecase,T203,OligomerConversionTank,387800.7902011104,715437.7958110912,18.105522922951337,152260.20557285153
one_dewatering_basecase,F201,PretreatmentFlash,821947.7522221049,1576819.8412852562,18.909167555659213,159018.53547607167
one_dewatering_basecase,M203,Mixer,0.0,0.0,0.0,0.0
one_dewatering_basecase,H201,WasteVaporCondenser,103935.97229020676,228659.1390384549,0.0,0.0
one_dewatering_basecase,T204,AmmoniaStorageTank,229089.96551378272,458179.93102756544,0.0,0.0
one_dewatering_basecase,M204,AmmoniaMixer,4030.8344973809753,4030.8344973809753,0.0,0.0
one_dewatering_basecase,T205,AmmoniaAdditionTank,532266.7288792691,798400.0933189036,0.47085331979282147,3959.6880781297104
one_dewatering_basecase,P202,HydrolyzatePump,24907.699775682846,57287.70948407054,4.804238899388364,40401.72744829637
one_dewatering_basecase,U_SW2S,Unit,0.0,0.0,0.0,0.0
one_dewatering_basecase,M301,EnzymeHydrolysateMixer,123147.66550188544,209351.03135320527,5.374281515014666,45195.557828667326
