pretreatment_case,metric,AD,ML,MX,PC,PR,SP,UP,EZ,PX,HT
press_mill_only,CAPEX ($MM),229.41,3.33,0.0,10.02,39.36,5.3,25.28,,,
press_mill_only,OPEX/day ($/d),31404.0,4204.0,0.0,1654.0,858.0,1083.0,8072.0,,,
enzymatic,CAPEX ($MM),229.41,3.33,0.0,10.02,39.36,5.26,31.09,7.28,,
enzymatic,OPEX/day ($/d),31404.0,4204.0,0.0,1654.0,858.0,1082.0,9929.0,8026.0,,
peroxide,CAPEX ($MM),229.41,3.33,0.0,10.02,39.36,5.3,41.71,,1.0,
peroxide,OPEX/day ($/d),31404.0,4204.0,0.0,1654.0,858.0,1083.0,13319.0,,15443.0,
combined_PE,CAPEX ($MM),229.41,3.33,0.0,10.02,39.36,5.26,70.02,7.28,1.0,
combined_PE,OPEX/day ($/d),31404.0,4204.0,0.0,1654.0,858.0,1078.0,22360.0,8026.0,15443.0,
combined_PTE,CAPEX ($MM),229.41,3.33,0.0,10.02,39.36,5.26,65.98,7.28,1.0,1.2
combined_PTE,OPEX/day ($/d),31404.0,4204.0,0.0,1654.0,858.0,1079.0,21068.0,8026.0,15443.0,12301.0
