pretreatment_case,unit,unit_class,power_kW,heat_duty_GJph
press_mill_only,PR,Press,457.11,0.0
press_mill_only,PC,PressateConcentrator,315.14,0.0
press_mill_only,ML,Mill,2239.86,0.0
press_mill_only,MX,Mixer,0.0,0.0
press_mill_only,AD,AnaerobicDigester,2590.76,37.9978
press_mill_only,UP,BiogasUpgrading,2872.53,0.0
press_mill_only,SP,DigestateScrewPress,577.1,0.0
enzymatic,PR,Press,457.11,0.0
enzymatic,PC,PressateConcentrator,315.14,0.0
enzymatic,ML,Mill,2239.86,0.0
enzymatic,EZ,EnzymaticPretreatment,0.0,0.0
enzymatic,MX,Mixer,0.0,0.0
enzymatic,AD,AnaerobicDigester,2590.76,37.9978
enzymatic,UP,BiogasUpgrading,3533.21,0.0
enzymatic,SP,DigestateScrewPress,576.33,0.0
peroxide,PR,Press,457.11,0.0
peroxide,PC,PressateConcentrator,315.14,0.0
peroxide,ML,Mill,2239.86,0.0
peroxide,PX,PeroxidePretreatment,0.0,0.0
peroxide,MX,Mixer,0.0,0.0
peroxide,AD,AnaerobicDigester,2590.76,37.9978
peroxide,UP,BiogasUpgrading,4739.67,0.0
peroxide,SP,DigestateScrewPress,576.79,0.0
combined_PE,PR,Press,457.11,0.0
combined_PE,PC,PressateConcentrator,315.14,0.0
combined_PE,ML,Mill,2239.86,0.0
combined_PE,PX,PeroxidePretreatment,0.0,0.0
combined_PE,EZ,EnzymaticPretreatment,0.0,0.0
combined_PE,MX,Mixer,0.0,0.0
combined_PE,AD,AnaerobicDigester,2590.76,37.9978
combined_PE,UP,BiogasUpgrading,7956.9,0.0
combined_PE,SP,DigestateScrewPress,574.64,0.0
combined_PTE,PR,Press,457.11,0.0
combined_PTE,PC,PressateConcentrator,315.14,0.0
combined_PTE,ML,Mill,2239.86,0.0
combined_PTE,PX,PeroxidePretreatment,0.0,0.0
combined_PTE,HT,HeatingPretreatment,0.0,82.5095
combined_PTE,EZ,EnzymaticPretreatment,0.0,0.0
combined_PTE,MX,Mixer,0.0,0.0
combined_PTE,AD,AnaerobicDigester,2590.76,37.9978
combined_PTE,UP,BiogasUpgrading,7497.29,0.0
combined_PTE,SP,DigestateScrewPress,574.95,0.0
