pretreatment_case,unit_id,unit_class,installed_cost_usd,purchase_cost_usd,baseline_purchase_costs_json,design_results_json
press_mill_only,PR,Press,39362714.70859773,39362714.70859773,{'Press system': 39362714.70859773},"{'TS (kg/h)': 82937.50000000003, 'TS (dry ton/h)': 91.42294434979145, 'Capacity (dry ton/day)': 2194.1506643949947, 'Wet throughput (tph)': 625.0000000000001, 'Number of press trains': 13, 'Train throughput (tph)': 48.07692307692309, 'Installed CAPEX ($)': 39362714.70859773}"
press_mill_only,ML,Mill,3334632.4313730216,3334632.4313730216,{'Hammer mill': 3334632.4313730216},"{'Dry mass (kg/h)': 81278.75000000006, 'Dry throughput (dry ton/h)': 89.59448546279566, 'Number of mills': 9, 'Mill capacity each (dry ton/h)': 9.954942829199517, 'Purchase cost each ($)': 205841.50810944577, 'Installed cost total ($)': 3334632.4313730216}"
press_mill_only,AD,AnaerobicDigester,52629845.193732195,52629845.193732195,{'Anaerobic digester': 52629845.193732195},"{'Slurry flow (m3/hr)': 197.39125000000007, 'HRT (days)': 25.0, 'Headspace frac': 0.25, 'Total digester volume (m3)': 157913.00000000003, 'Max single digester (m3)': 5678.117676, 'Number of digesters': 28, 'Digester volume each (m3)': 5639.750000000001, 'Mixing power (kW)': 592.1737500000002, 'Influent T (K)': 298.15, 'Target T (K)': 308.15, 'Heating duty (kJ/h)': 8250954.250000002, 'AD inlet TS (kg/hr)': 69086.93750000001, 'AD inlet VS (kg/hr)': 45231.21798125001, 'Biodegradable pool (kg/hr)': 22933.53226316629, 'Biodegradable destroyed (kg/hr)': 4586.706452633258, 'Methane production (kg/hr)': 4523.121798125001, 'Organic loading proxy (kg/m3-h)': 0.19363854158653845, 'Methane productivity (kg/m3-h)': 0.038190833333333334, 'CH4 yield (kg/kg VS fed)': 0.1, 'ADBC CAPEX each ($)': 1879637.3283475784, 'ADBC CAPEX total ($)': 52629845.193732195, 'Annual maintenance ($/yr)': 1579130.0000000002}"
press_mill_only,UP,BiogasUpgrading,25278230.8905676,25278230.8905676,{'Membrane upgrading skid': 25278230.8905676},"{'Raw biogas flow (Nm3/h)': 11490.104950258, 'Electricity demand (kW)': 2872.5262375645, 'Biomethane CH4 mol%': 96.20141342756182, 'Methane slip (kmol/h)': 2.81946895808062, 'Methane recovery actual': 0.99, 'Annual maintenance ($/yr)': 884738.0811698661}"
press_mill_only,SP,DigestateScrewPress,1214000.6339999998,1214000.6339999998,{'Screw press (digestate)': 1214000.6339999998},"{'Throughput_kgph': 192804.5435473668, 'Throughput_tph': 192.8045435473668, 'Capacity_tph_each': 6.0, 'N_screw_presses_parallel': 33, 'Throughput_m3ph': 193.18229241172907, 'kWh_per_m3': 0.67, 'Power_kW': 129.43213591585848, 'Capex_eur_each': 30914.199999999997, 'Capex_usd_each': 36787.897999999994, 'N_parallel': 33, 'Total_purchase_cost_usd': 1214000.6339999998}"
enzymatic,PR,Press,39362714.70859773,39362714.70859773,{'Press system': 39362714.70859773},"{'TS (kg/h)': 82937.50000000003, 'TS (dry ton/h)': 91.42294434979145, 'Capacity (dry ton/day)': 2194.1506643949947, 'Wet throughput (tph)': 625.0000000000001, 'Number of press trains': 13, 'Train throughput (tph)': 48.07692307692309, 'Installed CAPEX ($)': 39362714.70859773}"
enzymatic,ML,Mill,3334632.4313730216,3334632.4313730216,{'Hammer mill': 3334632.4313730216},"{'Dry mass (kg/h)': 81278.75000000006, 'Dry throughput (dry ton/h)': 89.59448546279566, 'Number of mills': 9, 'Mill capacity each (dry ton/h)': 9.954942829199517, 'Purchase cost each ($)': 205841.50810944577, 'Installed cost total ($)': 3334632.4313730216}"
enzymatic,EZ,EnzymaticPretreatment,7280000.0,7280000.0,{'Enzymatic pretreatment': 7280000.0},"{'Mass flow (kg/h)': 197391.25000000006, 'Slurry flow (m3/h)': 197.39125000000007, 'Residence time (h)': 24.0, 'Reactor volume (m3)': 4737.390000000001, 'Temperature (K)': 308.15, 'Dry feed basis (kg/h)': 69086.93750000001, 'Enzyme addition (kg/h)': 1381.7387500000002, 'Enzyme cost ($/h)': 9672.171250000001, 'Annual maintenance ($/yr)': 254800.00000000003}"
enzymatic,AD,AnaerobicDigester,52629845.193732195,52629845.193732195,{'Anaerobic digester': 52629845.193732195},"{'Slurry flow (m3/hr)': 197.39125000000007, 'HRT (days)': 25.0, 'Headspace frac': 0.25, 'Total digester volume (m3)': 157913.00000000003, 'Max single digester (m3)': 5678.117676, 'Number of digesters': 28, 'Digester volume each (m3)': 5639.750000000001, 'Mixing power (kW)': 592.1737500000002, 'Influent T (K)': 298.15, 'Target T (K)': 308.15, 'Heating duty (kJ/h)': 8250954.250000002, 'AD inlet TS (kg/hr)': 69086.93750000001, 'AD inlet VS (kg/hr)': 45231.21798125001, 'Biodegradable pool (kg/hr)': 22933.53226316629, 'Biodegradable destroyed (kg/hr)': 5733.383065791572, 'Methane production (kg/hr)': 5563.439811693751, 'Organic loading proxy (kg/m3-h)': 0.19363854158653845, 'Methane productivity (kg/m3-h)': 0.046974724999999995, 'CH4 yield (kg/kg VS fed)': 0.12299999999999998, 'ADBC CAPEX each ($)': 1879637.3283475784, 'ADBC CAPEX total ($)': 52629845.193732195, 'Annual maintenance ($/yr)': 1579130.0000000002}"
enzymatic,UP,BiogasUpgrading,31092223.99539815,31092223.99539815,{'Membrane upgrading skid': 31092223.99539815},"{'Raw biogas flow (Nm3/h)': 14132.82908881734, 'Electricity demand (kW)': 3533.207272204335, 'Biomethane CH4 mol%': 96.20141342756185, 'Methane slip (kmol/h)': 3.4679468184391453, 'Methane recovery actual': 0.9900000000000001, 'Annual maintenance ($/yr)': 1088227.8398389353}"
